Diet,Acetate,Propionate,Butyrate,SCFA,Isobutyrate,Isovalerate,BCFA
Cabbage,-0.08,14.47,0.25,2.60,4.55,-0.87,2.32
Chicken,-30.91,-51.79,-36.12,-35.15,-23.29,-28.25,-25.33
Cottage_cheese,-1.02,4.74,-0.50,0.08,1.63,-1.04,0.53
Feijoa,-2.78,11.24,-1.49,-0.12,0.75,-0.87,0.08
Green_beans,2.08,8.70,11.71,4.08,10.59,6.21,8.79
Hazelnut,-2.08,25.53,5.39,3.57,-9.22,9.17,-1.66
Lamb,-2.65,-28.79,-62.03,-12.27,-24.80,-24.99,-24.88
Mackerel,-10.14,-26.50,-49.14,-16.32,-16.78,-14.73,-15.94
Oat_cereal,5.28,-28.46,-2.66,-1.53,-0.02,13.48,5.53
Onion,-20.66,-26.83,-76.76,-26.37,-24.08,-31.56,-27.16
Pak_choi,15.10,-17.58,43.56,11.46,-35.35,12.02,-15.86
Pasta,-23.06,3.97,8.09,-15.58,5.39,4.42,4.99
Peanut,-30.61,-29.24,-37.61,-30.93,-29.31,11.16,-12.66
Plum,-2.54,8.63,3.73,0.01,1.61,0.03,0.96
Rice_cereal,-2.13,9.01,-2.97,-0.16,1.37,-2.02,-0.02
Salmon,-2.90,16.70,-11.76,-0.05,-5.88,-2.06,-4.31
Shrimp,-20.99,-55.88,3.98,-25.32,4.37,13.63,8.18
Soymilk,-1.94,8.32,-1.39,-0.02,1.02,-0.74,0.29
Sunflower_seed,-5.33,20.93,0.91,-0.03,-1.04,1.18,-0.13
Tomato,0.54,1.11,21.94,2.39,-2.59,3.23,-0.20
Tuna,3.72,-4.24,1.07,2.05,-0.60,1.36,0.21
Whole_milk,-6.51,-15.11,-4.57,-7.92,19.40,0.81,11.75
Wholegrain_bread,-45.81,74.97,-41.05,-23.38,-41.52,12.15,-19.44
Yoghurt,-0.82,0.94,-0.78,-0.49,1.60,-2.38,-0.04
