Diet,Acetate,Propionate,Butyrate,SCFA,Isobutyrate,Isovalerate,BCFA
Black_beans,3.98,-8.16,-12.42,0.42,-4.10,-6.51,-5.10
Blackcurrant,-1.45,-1.68,-34.28,-4.17,-27.24,10.45,-11.74
Chickpea,-5.21,8.90,-19.94,-3.83,-8.94,-8.83,-8.90
Couscous,0.56,1.54,-7.21,0.10,-2.45,-1.93,-2.24
Pork,-0.77,3.75,1.36,0.23,-2.01,-2.20,-2.09
Pumpkin,-3.63,13.01,1.48,-0.18,-1.87,-1.83,-1.86
Raspberries,-1.55,-10.76,0.12,-3.09,-1.17,-4.82,-2.67
Shrimp,-20.99,-55.88,3.98,-25.32,4.37,13.63,8.18
Soybean,-6.77,18.67,-6.32,-2.09,4.31,-1.25,2.02
Split_peas,-5.22,-12.90,-7.00,-6.77,-15.28,-3.68,-10.51
Strawberries,-2.08,-0.13,-0.01,-1.55,-2.99,-3.37,-3.14
Sweet_potato,1.95,-0.66,-4.58,0.94,-0.26,-0.38,-0.31
