Group,Sample, Formate , Acetate , Propionate , Butyrate , Isovalerate , Lactate , Succinate,total_SCFA,Bacteroides,Escherichia_Shigella,Bifidobacterium,Enterococcus,Klebsiella,Streptococcus,Salmonella,Hafnia_Obesumbacterium,Collinsella,Enterobacter,Hungatella,Lacticaseibacillus,Akkermansia,Blautia,Parabacteroides,Anaeroglobus,Veillonella,Eubacterium,Clostridium_sensu_stricto_1,Pluralibacter,Eggerthella,Citrobacter,ash,crude_protein,fat,carbohydrate,total_dietary_fibre,sugar,non_protein_nitrogen,energy,beta_glucan,saturated_fat
food,Black_beans,0.54847501,3.212503405,0.386732631,0.009810078,0.08074996,1.254917957,0.700627881,3.609046114,0.404282251,0.193188571,0.156885117,0.114977775,0.019812689,0.012384416,0.003411063,0.000903278,0.00667356,0.001194466,0.004682783,0.00340512,0.003036678,0.002466187,0.005431553,0.001402458,0.001039958,0.000992417,0.000291188,0.000487295,0.000623975,0.000493237,0.293487751,3.297421199,0.391317001,3.947697981,3.377986464,0.16113053,0.023018647,164.7559667,0,0.061574881
food,Black_beans,0.193866521,2.23918861,0.186965066,0.064469665,0.084859043,1.244979075,0.427073316,2.490623341,0.357376587,0.145867419,0.209887165,0.136502116,0.015105783,0.013328632,0.003822285,0.002736248,0.007842031,0.002016925,0.00606488,0.003497884,0.000648801,0.002764457,0.002708039,0.000648801,0.000747532,0.001071932,0.001791255,0.000578279,0.000479549,0.000338505,0.27519261,3.091869909,0.36692348,3.701610398,3.167412979,0.151086139,0.021583734,154.4855768,0,0.057736489
food,Black_beans,0.642300867,3.5579727,0.380790642,0.031870662,0.088789014,1.161271637,0.658053144,3.970634003,0.40770454,0.193105925,0.157466017,0.069915363,0.031833804,0.013449602,0.004934599,0.001867145,0.011531162,0.00149782,0.004421647,0.004103616,0.003293152,0.002852013,0.002923827,0.001210567,0.001200308,0.000625801,0.000194922,0.000707874,0.00064632,0.000461657,0.23349185,2.623349603,0.311322466,3.140694289,2.687445405,0.128191604,0.018313086,131.0759147,0,0.048987506
food_food,Black_beans_and_Blackcurrant,0.779353051,4.803596515,0.486789064,0.115097465,0.123699965,0.772142033,0.746407734,5.405483045,0.377686537,0.174853001,0.189312145,0.176487733,0.01297648,0.009783049,0.000342153,0.000405515,0.003763686,2.53E-05,0.004752129,0.004080495,0.00145732,0.002141626,0.005411091,0.000532238,0.000836375,0.002154298,0.001216545,0,0.000620945,0.000481549,0.288450663,1.518537787,0.445787388,4.836912353,2.255159727,2.278998625,0.019071118,142.5804474,0,0.03504318
food_food,Black_beans_and_Blackcurrant,0.641020864,4.010698421,0.461774064,0.195119732,0.116334269,0.08532963,0.495320951,4.667592216,0.413546142,0.129604655,0.184496166,0.160068519,0.011773343,0.008641035,0.002436239,0.000772201,0.009505683,0.000929904,0.00522595,0.006134102,0.00492142,0.002289412,0.007809016,0.001033226,0.001506335,0.003148621,0.004013269,0.000549241,0.001234434,0.000478547,0.26928565,1.417644288,0.416168731,4.515542009,2.10532417,2.127579182,0.01780401,133.107229,0,0.032714868
food_food,Black_beans_and_Blackcurrant,0.695937516,3.156100417,0.385188025,0.104038539,0.09965045,0.285705756,0.414736516,3.645326981,0.364870662,0.105400725,0.200966061,0.152567688,0.008619868,0.00848481,0.00357506,0.027567688,0.01178181,0.001580971,0.006180882,0.008008135,0.003003051,0.00235954,0.007269289,0.000730901,0.001032795,0.002709101,0.002367484,0.000317783,0.001525359,0.00046873,0.29524754,1.554319696,0.456291653,4.95088644,2.308298951,2.332699575,0.019520499,145.9401272,0,0.035868916
food_food_formula,Black_beans_and_Blackcurrant_and_formula,0.75462819,1.490494429,0.141363502,-0.008220001,0.071636749,0.136575395,0.249379923,1.623637931,0.275877906,0.055673436,0.224246098,0.053588323,0.006852398,0.016285927,0.004712172,0.001607466,0.010039773,0.002232081,0.008533348,0.003077149,0.002057556,0.003150633,0.002902624,0.001129819,0.001139004,0.001102262,0.000404163,0.000468462,0.000560317,0.000312308,0.365546415,1.322092113,2.551005728,7.593070178,0.908327455,6.966884608,0.119894011,253.1653271,0,0.21287703
food_food_formula,Black_beans_and_Blackcurrant_and_formula,1.182204982,2.035493108,0.170598183,0.184480228,0.081938637,0.230088798,0.21920961,2.39057152,0.346878009,0.033747984,0.173719547,0.063702268,0.005961527,0.015213053,0.001281569,0.019446694,0.006095423,0.001523856,0.003092343,0.004386664,0.003525909,0.00372994,0.000962771,0.001472848,0.001721511,0.000899011,0.004246393,0.000357054,0.000612093,0.000267791,0.296652664,1.072920241,2.070223136,6.162020488,0.737136923,5.653850773,0.097297843,205.4517995,0,0.172756551
food_food_formula,Black_beans_and_Blackcurrant_and_formula,1.246263078,3.06172608,0.395533195,0.067088486,0.088451769,0.433865823,0.544947971,3.524347761,0.405440989,0.168626326,0.153238001,0.090544099,0.028488933,0.013843627,0.017089449,0.001486039,0.006986991,0.001974868,0.003278411,0.003187163,0.003180645,0.004855698,0.004197409,0.001062388,0.000782126,0.001147118,0.000273744,0.000671325,0.000514899,0.000638736,0.244917245,0.885805863,1.70918184,5.087380838,0.608582244,4.667834542,0.080329364,169.6215633,0,0.142628278
food_formula,Black_beans_and_formula,0.555779591,1.581615175,0.216947535,0.106650218,0.096338264,0.319533163,0.303732929,1.905212928,0.38035803,0.200566346,0.18235422,0.076570654,0.018983476,0.014236312,0.001237265,0.007827383,0.00455562,0.001154436,0.002697134,0.002624658,0.005078481,0.003675557,0.005125072,0.001330448,0.001201027,0.000714404,0.002645366,0.000771349,0.000471093,0.001237265,0.302627264,1.417099624,2.15747555,6.13964833,0.905648381,5.467391456,0.102736931,215.5130468,0,0.186154852
food_formula,Black_beans_and_formula,0.732794466,1.901933645,0.264061047,0.195304365,0.100852137,0.42112653,0.401994232,2.361299057,0.412075689,0.139612677,0.193789075,0.092692344,0.016281766,0.015782496,0.000244088,0.000399416,0.003750076,0,0.005153581,0.005131391,0.007649934,0.003367302,0.001991535,0.002390951,0.00191387,0.000793285,0.002080294,0.000560292,0.000787738,0.000399416,0.281902447,1.320052419,2.009725197,5.719186921,0.843626881,5.0929682,0.0957012,200.7540713,0,0.173406413
food_formula,Black_beans_and_formula,0.734965859,1.555063872,0.201414197,0.182664804,0.102638891,0.220453975,0.362505051,1.939142874,0.438642568,0.188411373,0.165994658,0.077459735,0.019560988,0.012281104,0.003654738,0.002219477,0.004505538,0.001642413,0.004261395,0.00330702,0.00335141,0.003277427,0.002766948,0.000872994,0.000621453,0.000821206,0.003528968,0.000525276,0.000406904,0.000540073,0.283324878,1.326713176,2.019865922,5.748044948,0.847883676,5.118666436,0.096184092,201.7670416,0,0.174281392
food_food,Black_beans_and_Pumpkin,0.75314621,3.021209824,0.413373537,0.009375209,0.10408995,0.676808974,0.392644147,3.443958569,0.331556186,0.131200756,0.220551224,0.13609048,0.018572735,0.015121164,0.001150523,0.011577142,0.00592725,0.001140251,0.003841926,0.002824946,0.000924528,0.002948216,0.005300626,0.001058071,0.001181341,0.001129978,0.000349266,0.000667714,0.000657442,0.000647169,0.41213686,1.756762145,0.405229538,3.644763402,2.364606452,2.304742998,0.050653692,125.7362788,0,0.052035157
food_food,Black_beans_and_Pumpkin,0.88903415,3.481029794,0.34382567,0.016633872,0.098296977,0.651359352,0.540155163,3.841489335,0.402864552,0.111719629,0.188656925,0.109042033,0.013968915,0.01719576,0.00598366,0.017079573,0.008703505,0.001262219,0.005951972,0.003797221,0.002160033,0.002709283,0.004140502,0.000924219,0.001040407,0.001151313,0.000343281,0.000639032,0.000528125,0.000612625,0.435742925,1.857384646,0.428439971,3.85352542,2.500044603,2.436752334,0.053554996,132.9381069,0,0.055015587
food_food,Black_beans_and_Pumpkin,1.223619856,4.181929652,0.401469504,0.016472462,0.125238696,0.545543793,0.824337947,4.599871618,0.436389087,0.175854524,0.138066924,0.072119901,0.033581972,0.012011577,0.006563806,0.001368248,0.015731697,0.002055524,0.002900433,0.003177866,0.003152645,0.002087051,0.002736496,0.000750329,0.001071899,0.00054856,0.000208075,0.000712498,0.000630529,0.000756635,0.362533685,1.54532515,0.356457702,3.206093988,2.080011703,2.027353179,0.044557213,110.6031539,0,0.045772409
food_food_formula,Black_beans_and_Pumpkin_and_formula,0.937812223,2.711935247,0.300715598,0.015267003,0.077331408,0.522048269,0.467466232,3.027917847,0.390117226,0.169852844,0.165891518,0.070394225,0.037089746,0.013424493,0.001496501,0.008289441,0.005912645,0.001364457,0.003418477,0.002934315,0.003095703,0.002816943,0.002626212,0.001437815,0.00130577,0.00083628,0.00027876,0.000997667,0.000337446,0.000528177,0.371087013,1.29191036,2.340426008,6.718533368,0.884254191,6.436771015,0.118699885,229.8041756,0,0.200590815
food_food_formula,Black_beans_and_Pumpkin_and_formula,1.193352525,3.309292821,0.337243239,0.017594936,0.098434399,0.637753043,0.701370346,3.664130996,0.333647735,0.277897089,0.19910323,0.071132136,0.022861828,0.015403256,0.000544156,0.000203152,0.003221406,0,0.003642221,0.00310532,0.001784833,0.003040021,0.004012247,0.00052239,0.00034826,0.000964971,0.000145108,0.000580434,0.000370026,0.000500624,0.288384481,1.003987974,1.818825546,5.221203354,0.687184344,5.002236139,0.092245763,178.5887286,0,0.155886021
food_food_formula,Black_beans_and_Pumpkin_and_formula,1.039942882,1.811067377,0.262579635,0.068387437,0.099339083,0.244865318,0.427843676,2.142034449,0.366814778,0.140972617,0.199912363,0.065650897,0.016766347,0.016066789,0.048215741,0.004873849,0.007779708,0.024023308,0.00520441,0.003028859,0.001998739,0.004181978,0.002375425,0.000791808,0.000522747,0.000953245,0.001752741,0.000538122,0.000468935,0.000161437,0.270882862,0.94305746,1.708443769,4.904336404,0.645480164,4.698657979,0.086647507,167.7504483,0,0.146425534
food,Blackcurrant,0.671173904,5.258810814,0.645901206,0.062013257,0.119413694,0.726943423,0.757145609,5.966725277,0.397557483,0.130471796,0.158373777,0.158047577,0.017773888,0.009380221,0.000843345,0.01888774,0.010613414,0.001042247,0.003031267,0.005680643,0.001869679,0.001646909,0.006993396,0.000660355,0.001376402,0.000819476,0.000318243,0.000580794,0.000350068,0.000469409,0.370457942,0.338704404,0.629778501,7.107500223,1.899920015,4.911213855,0.021169025,165.0125517,0,0.021169025
food,Blackcurrant,1.125463349,7.108654303,0.729647097,0.107694269,0.152684415,0.685154293,0.73805031,7.94599567,0.348382648,0.128192143,0.171044976,0.217044157,0.020041808,0.007542616,0.001174493,0.006120294,0.004838049,0.001303795,0.003642006,0.00423464,0.005021227,0.001573174,0.010688964,0.000484882,0.001206819,0.001971855,0.000140077,0.000603409,0.000517208,0.000452557,0.22147839,0.202494528,0.376513263,4.24922111,1.135867743,2.936170656,0.012655908,98.65280285,0,0.012655908
food,Blackcurrant,0.777550023,6.265813571,0.876751853,0.069794329,0.126766055,1.045501181,1.377738554,7.212359752,0.408500147,0.173097686,0.139754153,0.162872336,0.015698886,0.008983989,0.004064736,0.000802554,0.005577464,0.001553145,0.00535806,0.00561788,0.003013909,0.001945761,0.008856966,0.000883387,0.001397253,0.00101041,0.000409938,0.000357974,0.0007044,0.000825649,0.250975325,0.229463154,0.426658053,4.815140879,1.287144881,3.327215738,0.014341447,111.7915805,0,0.014341447
food_formula,Blackcurrant_and_formula,0.690752009,2.24588521,0.353127942,-0.025620336,0.104919476,0.686511804,0.424017487,2.573392816,0.41874051,0.202200601,0.172146607,0.091224152,0.023149882,0.011275354,0.000245116,0.000251925,0.003275027,0,0.004875093,0.003785687,0.004800196,0.002240092,0.003172896,0.001858799,0.001695388,0.000769393,0.000102132,0.000585556,0.000687688,0.000428954,0.300275446,0.786928756,2.053262794,6.373087492,0.603657191,6.001367198,0.095259797,202.4684855,0,0.165669212
food_formula,Blackcurrant_and_formula,0.939767775,3.000844989,0.461062601,-0.028314524,0.119364115,0.342996436,0.690101484,3.433593066,0.397143046,0.250104765,0.145861975,0.056661202,0.02427602,0.011461634,0.001926201,0.008623795,0.006227071,0.002609929,0.002080592,0.002911358,0.004661114,0.003661253,0.002661393,0.00119101,0.000874878,0.000683728,0.000272021,0.000492578,0.000389651,0.000595505,0.261062797,0.684164572,1.785129402,5.540832815,0.524826244,5.217655076,0.082819922,176.0283426,0,0.144034647
food_formula,Blackcurrant_and_formula,0.912762504,2.141088834,0.250126672,-0.04798417,0.132703011,0.421478999,0.58246057,2.343231337,0.384824752,0.226487972,0.169944364,0.083734707,0.024629425,0.013588878,0.004522955,0.000440288,0.003428907,4.00E-05,0.004616349,0.004236101,0.005416872,0.003395552,0.003949247,0.001787835,0.001467626,0.00097397,0.000226815,0.000506998,0.000700458,0.000793852,0.234973531,0.615792701,1.606732798,4.987110627,0.472377822,4.696229601,0.074543327,158.43698,0,0.129640569
food_food,Blackcurrant_and_Kumara_peeled,0.845991532,3.992486913,0.509627792,0.13077081,0.11615551,0.533032511,0.43352352,4.632885515,0.415212705,0.107267303,0.167612995,0.189109072,0.015323005,0.007520493,0.000764583,0.005295681,0.012465218,0.000820987,0.003334085,0.005577699,0.004236545,0.001679577,0.005289414,0.000695646,0.001623173,0.003434359,0.000526435,0.00066431,0.001604372,0.00092126,0.280759053,0.291235137,0.299616004,6.126413956,1.091607959,4.127577118,0.020952168,128.8977382,0.00377139,0.015085561
