Sample,old ID,Composition,Description,Time,Category
L1,A1,Black_beans,Time_zero,0,control
O1,J7,Chickpea,Time_zero,0,control
M1,G7,Chickpea_and_Pork_and_formula,Time_zero,0,control
P1,K5,Chickpea_and_Pork_and_formula,Time_zero,0,control
N1,I8,Infant_formula,Time_zero,0,control
A1,A1,Black_beans,Black_beans,24,food_alone
C1,C1,Black_beans,Black_beans,24,food_alone
J1,J1,Black_beans,Black_beans,24,food_alone
B1,B1,Black_beans_and_Blackcurrant,Black_beans_and_Blackcurrant,24,food_and_food
C2,C2,Black_beans_and_Blackcurrant,Black_beans_and_Blackcurrant,24,food_and_food
D1,D1,Black_beans_and_Blackcurrant,Black_beans_and_Blackcurrant,24,food_and_food
A2,A2,Black_beans_and_Blackcurrant_and_formula,Black_beans_and_Blackcurrant_and_formula,24,food_and_food_and_formula
C3,C3,Black_beans_and_Blackcurrant_and_formula,Black_beans_and_Blackcurrant_and_formula,24,food_and_food_and_formula
J2,J2,Black_beans_and_Blackcurrant_and_formula,Black_beans_and_Blackcurrant_and_formula,24,food_and_food_and_formula
A3,A3,Black_beans_and_formula,Black_beans_and_formula,24,food_and_formula
C4,C4,Black_beans_and_formula,Black_beans_and_formula,24,food_and_formula
E1,E1,Black_beans_and_formula,Black_beans_and_formula,24,food_and_formula
C5,C5,Black_beans_and_Pumpkin,Black_beans_and_Pumpkin,24,food_and_food
F1,F1,Black_beans_and_Pumpkin,Black_beans_and_Pumpkin,24,food_and_food
J3,J3,Black_beans_and_Pumpkin,Black_beans_and_Pumpkin,24,food_and_food
A4,A4,Black_beans_and_Pumpkin_and_formula,Black_beans_and_Pumpkin_and_formula,24,food_and_food_and_formula
G1,G1,Black_beans_and_Pumpkin_and_formula,Black_beans_and_Pumpkin_and_formula,24,food_and_food_and_formula
K1,K1,Black_beans_and_Pumpkin_and_formula,Black_beans_and_Pumpkin_and_formula,24,food_and_food_and_formula
D2,D2,Blackcurrant,Blackcurrant,24,food_alone
E2,E2,Blackcurrant,Blackcurrant,24,food_alone
G2,G2,Blackcurrant,Blackcurrant,24,food_alone
B2,B2,Blackcurrant_and_formula,Blackcurrant_and_formula,24,food_and_formula
H1,H1,Blackcurrant_and_formula,Blackcurrant_and_formula,24,food_and_formula
K2,K2,Blackcurrant_and_formula,Blackcurrant_and_formula,24,food_and_formula
B3,B3,Blackcurrant_and_Pork,Blackcurrant_and_Pork,24,food_and_food
J4,J4,Blackcurrant_and_Pork,Blackcurrant_and_Pork,24,food_and_food
D3,D3,Blackcurrant_and_Pork,Blackcurrant_and_Pork,24,food_and_food
C6,C6,Blackcurrant_and_Pork_and_formula,Blackcurrant_and_Pork_and_formula,24,food_and_food_and_formula
G3,G3,Blackcurrant_and_Pork_and_formula,Blackcurrant_and_Pork_and_formula,24,food_and_food_and_formula
I1,I1,Blackcurrant_and_Pork_and_formula,Blackcurrant_and_Pork_and_formula,24,food_and_food_and_formula
A5,A5,Blackcurrant_and_Soybean,Blackcurrant_and_Soybean,24,food_and_food
F2,F2,Blackcurrant_and_Soybean,Blackcurrant_and_Soybean,24,food_and_food
J5,J5,Blackcurrant_and_Soybean,Blackcurrant_and_Soybean,24,food_and_food
B4,B4,Blackcurrant_and_Soybean_and_formula,Blackcurrant_and_Soybean_and_formula,24,food_and_food_and_formula
D4,D4,Blackcurrant_and_Soybean_and_formula,Blackcurrant_and_Soybean_and_formula,24,food_and_food_and_formula
I2,I2,Blackcurrant_and_Soybean_and_formula,Blackcurrant_and_Soybean_and_formula,24,food_and_food_and_formula
C7,C7,Blackcurrant_and_Strawberries,Blackcurrant_and_Strawberries,24,food_and_food
G4,G4,Blackcurrant_and_Strawberries,Blackcurrant_and_Strawberries,24,food_and_food
I3,I3,Blackcurrant_and_Strawberries,Blackcurrant_and_Strawberries,24,food_and_food
E3,E3,Blackcurrant_and_Strawberries_and_formula,Blackcurrant_and_Strawberries_and_formula,24,food_and_food_and_formula
I4,I4,Blackcurrant_and_Strawberries_and_formula,Blackcurrant_and_Strawberries_and_formula,24,food_and_food_and_formula
J6,J6,Blackcurrant_and_Strawberries_and_formula,Blackcurrant_and_Strawberries_and_formula,24,food_and_food_and_formula
B5,B5,Blackcurrant_and_Kumara_peeled,Blackcurrant_and_Kumara_peeled,24,food_and_food
D5,D5,Blackcurrant_and_Kumara_peeled,Blackcurrant_and_Kumara_peeled,24,food_and_food
H2,H2,Blackcurrant_and_Kumara_peeled,Blackcurrant_and_Kumara_peeled,24,food_and_food
E4,E4,Blackcurrant_and_Kumara_peeled_and_formula,Blackcurrant_and_Kumara_peeled_and_formula,24,food_and_food_and_formula
F3,F3,Blackcurrant_and_Kumara_peeled_and_formula,Blackcurrant_and_Kumara_peeled_and_formula,24,food_and_food_and_formula
G5,G5,Blackcurrant_and_Kumara_peeled_and_formula,Blackcurrant_and_Kumara_peeled_and_formula,24,food_and_food_and_formula
A6,A6,Blackcurrant_and_Kumara_with_skin,Blackcurrant_and_Kumara_with_skin,24,food_and_food
H3,H3,Blackcurrant_and_Kumara_with_skin,Blackcurrant_and_Kumara_with_skin,24,food_and_food
K3,K3,Blackcurrant_and_Kumara_with_skin,Blackcurrant_and_Kumara_with_skin,24,food_and_food
B6,B6,Blackcurrant_and_Kumara_with_skin_and_formula,Blackcurrant_and_Kumara_with_skin_and_formula,24,food_and_food_and_formula
G6,G6,Blackcurrant_and_Kumara_with_skin_and_formula,Blackcurrant_and_Kumara_with_skin_and_formula,24,food_and_food_and_formula
K4,K4,Blackcurrant_and_Kumara_with_skin_and_formula,Blackcurrant_and_Kumara_with_skin_and_formula,24,food_and_food_and_formula
D6,D6,Chickpea,Chickpea,24,food_alone
F4,F4,Chickpea,Chickpea,24,food_alone
J7,J7,Chickpea,Chickpea,24,food_alone
B7,B7,Chickpea_and_formula,Chickpea_and_formula,24,food_and_formula
E5,E5,Chickpea_and_formula,Chickpea_and_formula,24,food_and_formula
