Sample,Treatment,Analyte,Measured,Predicted
black_beans,Food,Acetate,-0.254911035,0.301302746
black_beans,Food,Acetate,-1.040600318,0.301302746
black_beans,Food,Acetate,0.023962279,0.301302746
black_beans,Food,Propionate,-0.110837185,-1.429268486
black_beans,Food,Propionate,-1.282971812,-1.429268486
black_beans,Food,Propionate,-0.145701759,-1.429268486
black_beans,Food,Butyrate,-0.450588489,-0.190054874
black_beans,Food,Butyrate,0.522622169,-0.190054874
black_beans,Food,Butyrate,-0.057801127,-0.190054874
black_beans,Food,total_SCFAs,-0.256659598,-0.665476488
black_beans,Food,total_SCFAs,-1.0559848,-0.665476488
black_beans,Food,total_SCFAs,0.001763531,-0.665476488
blackcurrants,Food,Acetate,1.396930495,-0.409344039
blackcurrants,Food,Acetate,2.89018038,-0.409344039
blackcurrants,Food,Acetate,2.209813725,-0.409344039
blackcurrants,Food,Propionate,1.409832409,0.141933436
blackcurrants,Food,Propionate,1.901210768,0.141933436
blackcurrants,Food,Propionate,2.764346775,0.141933436
blackcurrants,Food,Butyrate,0.478885966,-0.785263695
blackcurrants,Food,Butyrate,1.292233657,-0.785263695
blackcurrants,Food,Butyrate,0.617427483,-0.785263695
blackcurrants,Food,total_SCFAs,1.428349344,-0.85075322
blackcurrants,Food,total_SCFAs,2.842913447,-0.85075322
blackcurrants,Food,total_SCFAs,2.318591435,-0.85075322
chickpeas,Food,Acetate,-0.939209063,1.337554937
chickpeas,Food,Acetate,-1.360975486,1.337554937
chickpeas,Food,Acetate,-0.65654244,1.337554937
chickpeas,Food,Propionate,-0.080112175,0.515796334
chickpeas,Food,Propionate,-1.120176124,0.515796334
chickpeas,Food,Propionate,-0.419718566,0.515796334
chickpeas,Food,Butyrate,-0.594638263,-0.397308919
chickpeas,Food,Butyrate,-0.541391034,-0.397308919
chickpeas,Food,Butyrate,-0.503166575,-0.397308919
chickpeas,Food,total_SCFAs,-0.864549538,0.895435989
chickpeas,Food,total_SCFAs,-1.362512357,0.895435989
chickpeas,Food,total_SCFAs,-0.651981831,0.895435989
couscous,Food,Acetate,-0.37603587,0.577822331
couscous,Food,Acetate,-0.205149382,0.577822331
couscous,Food,Acetate,0.931049885,0.577822331
couscous,Food,Propionate,-0.586470492,1.226891044
couscous,Food,Propionate,0.245907706,1.226891044
couscous,Food,Propionate,0.321626353,1.226891044
couscous,Food,Butyrate,-0.625256348,-0.385732702
couscous,Food,Butyrate,-0.286039496,-0.385732702
