sample_id,abundance,genus,id,relative
Black_beans,0.389787792,Bacteroides,Bacteroides,0.389787792
Black_beans,0.177387305,Escherichia,Escherichia,0.177387305
Black_beans,0.1747461,Bifidobacterium,Bifidobacterium,0.1747461
Black_beans,0.107131751,Enterococcus,Enterococcus,0.107131751
Black_beans,0.022250758,Klebsiella,Klebsiella,0.022250758
Black_beans,0.013054217,Streptococcus,Streptococcus,0.013054217
Black_beans,0.004055982,Salmonella,Salmonella,0.004055982
Black_beans,0.001835557,Hafnia,Hafnia,0.001835557
Black_beans,0.008682251,Collinsella,Collinsella,0.008682251
Black_beans,0.001569737,Enterobacter,Enterobacter,0.001569737
Black_beans,0.005056437,Hungatella,Hungatella,0.005056437
Black_beans,0.003668874,Lacticaseibacillus,Lacticaseibacillus,0.003668874
Black_beans,0.00232621,Akkermansia,Akkermansia,0.00232621
Black_beans,0.002694219,Blautia,Blautia,0.002694219
Black_beans,0.003687806,Parabacteroides,Parabacteroides,0.003687806
Black_beans,0.000302877,Ruminococcus,Ruminococcus,0.000302877
Black_beans,0.001087275,Anaeroglobus,Anaeroglobus,0.001087275
Black_beans,0.000995933,Veillonella,Veillonella,0.000995933
Black_beans,0.000896717,Eubacterium,Eubacterium,0.000896717
Black_beans,7.80E-04,Clostridium,Clostridium,0.000780066
Black_beans,0.000591149,Pluralibacter,Pluralibacter,0.000591149
Black_beans,0.000583281,Eggerthella,Eggerthella,0.000583281
Black_beans,0.000431133,Citrobacter,Citrobacter,0.000431133
Black_beans,0.000341041,Megasphaera,Megasphaera,0.000341041
Black_beans,0.000398522,Sellimonas,Sellimonas,0.000398522
Black_beans,0.000132718,Raoultella,Raoultella,0.000132718
Black_beans,0.00032679,Sarcina,Sarcina,0.00032679
Black_beans,0,Kosakonia,Kosakonia,0
Black_beans,0.000110641,Lachnoclostridium,Lachnoclostridium,0.000110641
Black_beans,2.33E-05,Fusobacterium,Fusobacterium,2.3269E-05
Black_beans,0.000161232,Lactococcus,Lactococcus,0.000161232
Black_beans,6.75E-05,Lactobacillus,Lactobacillus,6.7517E-05
Black_beans,0.000174951,Intestinibacter,Intestinibacter,0.000174951
Black_beans,8.26E-05,Anaerostipes,Anaerostipes,8.25587E-05
Black_beans,2.38E-05,Erysipelatoclostridium,Erysipelatoclostridium,2.37705E-05
Black_beans,0,Faecalibacterium,Faecalibacterium,0
Black_beans,0,Pseudomonas,Pseudomonas,0
Black_beans,5.96E-05,Morganella,Morganella,5.95935E-05
Black_beans,4.37E-05,Bilophila,Bilophila,4.37465E-05
Black_beans,6.53E-05,Varibaculum,Varibaculum,6.52729E-05
Black_beans,6.29E-05,Actinomyces,Actinomyces,6.29374E-05
Black_beans,3.20E-05,Phascolarctobacterium,Phascolarctobacterium,3.20486E-05
Black_beans,0,Flavonifractor,Flavonifractor,0
Black_beans,2.35E-05,Caproiciproducens,Caproiciproducens,2.35073E-05
