sample_id,abundance,genus,id,relative
weaning_infant,0.098840904,Bacteroides,Bacteroides,0.098840904
weaning_infant,0.126670202,Escherichia,Escherichia,0.126670202
weaning_infant,0.314637515,Bifidobacterium,Bifidobacterium,0.314637515
weaning_infant,0.02414566,Enterococcus,Enterococcus,0.02414566
weaning_infant,0.016808687,Klebsiella,Klebsiella,0.016808687
weaning_infant,0.062634146,Streptococcus,Streptococcus,0.062634146
weaning_infant,0.00198801,Salmonella,Salmonella,0.00198801
weaning_infant,0.014599439,Hafnia,Hafnia,0.014599439
weaning_infant,0.033465417,Collinsella,Collinsella,0.033465417
weaning_infant,0.001040013,Enterobacter,Enterobacter,0.001040013
weaning_infant,0.024423848,Hungatella,Hungatella,0.024423848
weaning_infant,0.007332542,Lacticaseibacillus,Lacticaseibacillus,0.007332542
weaning_infant,0.013579309,Akkermansia,Akkermansia,0.013579309
weaning_infant,0.021549269,Blautia,Blautia,0.021549269
weaning_infant,0.001054581,Parabacteroides,Parabacteroides,0.001054581
weaning_infant,0.058628858,Ruminococcus,Ruminococcus,0.058628858
weaning_infant,0.020301747,Anaeroglobus,Anaeroglobus,0.020301747
weaning_infant,0.065238355,Veillonella,Veillonella,0.065238355
weaning_infant,0.001421595,Eubacterium,Eubacterium,0.001421595
weaning_infant,0.004486061,Clostridium,Clostridium,0.004486061
weaning_infant,0.001778481,Pluralibacter,Pluralibacter,0.001778481
weaning_infant,0.000657763,Eggerthella,Eggerthella,0.000657763
weaning_infant,0.001246069,Citrobacter,Citrobacter,0.001246069
weaning_infant,0.006877301,Megasphaera,Megasphaera,0.006877301
weaning_infant,0.004216371,Sellimonas,Sellimonas,0.004216371
weaning_infant,0.001199521,Raoultella,Raoultella,0.001199521
weaning_infant,0.000658116,Sarcina,Sarcina,0.000658116
weaning_infant,0.002237159,Kosakonia,Kosakonia,0.002237159
weaning_infant,0.002976097,Lachnoclostridium,Lachnoclostridium,0.002976097
weaning_infant,0.013201995,Fusobacterium,Fusobacterium,0.013201995
weaning_infant,0.000294217,Lactococcus,Lactococcus,0.000294217
weaning_infant,0.001008204,Lactobacillus,Lactobacillus,0.001008204
weaning_infant,0.00086026,Intestinibacter,Intestinibacter,0.00086026
weaning_infant,0.000876635,Anaerostipes,Anaerostipes,0.000876635
weaning_infant,0.000609896,Erysipelatoclostridium,Erysipelatoclostridium,0.000609896
weaning_infant,0.001644026,Faecalibacterium,Faecalibacterium,0.001644026
weaning_infant,0.001840693,Pseudomonas,Pseudomonas,0.001840693
weaning_infant,0.000472596,Morganella,Morganella,0.000472596
weaning_infant,0.00019372,Bilophila,Bilophila,0.00019372
weaning_infant,9.38E-05,Varibaculum,Varibaculum,9.38E-05
weaning_infant,0.000141696,Actinomyces,Actinomyces,0.000141696
weaning_infant,0.000716992,Phascolarctobacterium,Phascolarctobacterium,0.000716992
weaning_infant,0.000125719,Flavonifractor,Flavonifractor,0.000125719
weaning_infant,0.000289309,Caproiciproducens,Caproiciproducens,0.000289309
weaning_infant,0.000244747,Dysgonomonas,Dysgonomonas,0.000244747
weaning_infant,1.40E-05,Lactiplantibacillus,Lactiplantibacillus,1.40E-05
weaning_infant,4.17E-05,Turicibacter,Turicibacter,4.17E-05
weaning_infant,2.02E-05,Staphylococcus,Staphylococcus,2.02E-05
weaning_infant,0.000219354,Incertae Sedis,Incertae Sedis,0.000219354
weaning_infant,7.07E-06,Arcanobacterium,Arcanobacterium,7.07E-06
weaning_infant,3.00E-05,Campylobacter,Campylobacter,3.00E-05
weaning_infant,1.69E-05,Rothia,Rothia,1.69E-05
weaning_infant,3.08E-05,Haemophilus,Haemophilus,3.08E-05
weaning_infant,3.40E-05,Monoglobus,Monoglobus,3.40E-05
weaning_infant,7.75E-06,Buttiauxella,Buttiauxella,7.75E-06
